kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1204,1,1/12/2012,0,0,0,0
1204,1,13/11/2012,0,0,0,600
1204,1,17/8/2011,0,0,0,0
1206,1,1/1/2013,0,0,0,0
1207,1,1/1/2013,0,0,0,0
1207,1,1/11/2012,0,0,0,0
1207,1,27/10/2011,0,0,0,0
1207,1,24/8/2011,0,0,0,0
1208,1,29/10/2014,0,0,0,6068
1208,1,2/1/2014,0,0,0,0
1208,1,26/10/2013,0,0,0,0
1208,1,21/2/2013,0,0,0,3625
1208,1,28/11/2012,0,0,7,175
1208,1,8/3/2012,0,0,0,0
1209,1,8/1/2015,3,0,0,0
1209,1,10/12/2013,0,0,0,0
1209,1,27/4/2013,0,0,0,165
1210,1,26/11/2015,1,0,0,0
1211,1,9/5/2016,1,1,4,0
1211,1,1/1/2013,0,0,0,0
1211,1,24/4/2012,0,0,0,0
1211,1,12/4/2012,0,0,0,0
1212,1,30/9/2016,0,0,0,0
1212,1,2/9/2016,0,0,0,600
1212,1,11/5/2016,1,0,0,0
1212,1,8/2/2016,1,0,0,484
1212,1,20/12/2015,0,0,0,0
1212,1,9/12/2015,0,0,0,55
1212,1,19/12/2014,0,0,0,600
1212,1,4/10/2014,0,0,0,0
1212,1,21/9/2014,0,0,0,0
1212,1,22/12/2013,0,0,0,0
1212,1,1/12/2012,0,0,0,0
1212,1,1/11/2012,0,0,0,0
1212,1,1/10/2012,0,0,0,0
1212,1,2/2/2012,3,0,0,0
1212,1,1/1/2012,0,0,0,0
1212,1,3/4/2011,0,0,0,0
1212,1,6/1/2011,0,0,0,10
1213,1,21/9/2016,0,0,0,680
1213,1,9/9/2016,0,0,0,0
1213,1,8/9/2016,0,0,0,0
1213,1,29/5/2016,3,0,0,0
1213,1,9/2/2016,0,0,0,0
1213,1,10/12/2015,0,0,0,0
1213,1,28/10/2015,0,0,0,0
1213,1,22/10/2015,0,0,0,0
1213,1,12/1/2015,1,0,0,0
1213,1,23/9/2014,0,0,0,0
1213,1,29/12/2013,0,0,0,0
1213,1,17/10/2013,0,0,0,0
1213,1,6/10/2013,0,0,0,0
